watersupply,population,waterload,time,area
178.7,2415,411.3,2006/1/1,内蒙古自治区
141.2,4271,261.4,2006/1/1,辽宁省
102.9,2723,353.6,2006/1/1,吉林省
286.2,3823,727.9,2006/1/1,黑龙江省
118.6,1964,27.6,2006/1/1,上海市
546.4,7656,404.4,2006/1/1,江苏省
208.3,5072,903.6,2006/1/1,浙江省
241.9,6110,580.5,2006/1/1,安徽省
187.3,3585,1623.5,2006/1/1,福建省
205.7,4339,1630,2006/1/1,江西省
225.8,9309,199.3,2006/1/1,山东省
227,9392,321.8,2006/1/1,河南省
258.8,5693,639.7,2006/1/1,湖北省
327.7,6342,1770.3,2006/1/1,湖南省
459.4,9442,2216.2,2006/1/1,广东省
314.4,4719,1881.1,2006/1/1,广西壮族自治区
46.5,836,227.6,2006/1/1,海南省
73.2,2808,380.3,2006/1/1,重庆市
215.1,8169,1865.8,2006/1/1,四川省
100,3690,814.6,2006/1/1,贵州省
144.8,4483,1711.7,2006/1/1,云南省
35,285,4157.1,2006/1/1,西藏自治区
84.1,3699,275.5,2006/1/1,陕西省
122.3,2547,184.6,2006/1/1,甘肃省
32.2,548,569,2006/1/1,青海省
77.6,604,10.6,2006/1/1,宁夏回族自治区
513.4,2050,953.1,2006/1/1,新疆维吾尔自治区
34.5,1538,23.2,2005/1/1,北京市
23.1,1043,10.6,2005/1/1,天津市
201.8,6851,134.6,2005/1/1,河北省
55.7,3355,84.1,2005/1/1,山西省
174.8,2403,456.2,2005/1/1,内蒙古自治区
133.3,4221,377.2,2005/1/1,辽宁省
98.4,2716,559.7,2005/1/1,吉林省
271.5,3820,744.3,2005/1/1,黑龙江省
121.3,1890,24.5,2005/1/1,上海市
519.7,7588,467,2005/1/1,江苏省
209.9,4991,1014.4,2005/1/1,浙江省
208,6120,719.3,2005/1/1,安徽省
186.9,3557,1401.1,2005/1/1,福建省
208.1,4311,1510.1,2005/1/1,江西省
211,9248,415.9,2005/1/1,山东省
197.8,9380,558.5,2005/1/1,河南省
253.4,5710,934,2005/1/1,湖北省
328.4,6326,1671,2005/1/1,湖南省
459,9194,1747.5,2005/1/1,广东省
312.9,4660,1720.8,2005/1/1,广西壮族自治区
44.1,828,307.3,2005/1/1,海南省
71.2,2798,509.8,2005/1/1,重庆市
212.3,8212,2922.6,2005/1/1,四川省
97.2,3730,834.6,2005/1/1,贵州省
146.8,4450,1846.4,2005/1/1,云南省
33.2,280,4451.1,2005/1/1,西藏自治区
78.8,3690,490.6,2005/1/1,陕西省
123,2545,269.6,2005/1/1,甘肃省
30.7,543,876.1,2005/1/1,青海省
78.1,596,8.5,2005/1/1,宁夏回族自治区
508.5,2010,962.8,2005/1/1,新疆维吾尔自治区
34.6,1493,21.3,2004/1/1,北京市
22.1,1024,14.3,2004/1/1,天津市
195.9,6809,154.2,2004/1/1,河北省
55.9,3335,92.5,2004/1/1,山西省
171.5,2393,437.6,2004/1/1,内蒙古自治区
130.2,4217,285.7,2004/1/1,辽宁省
99.2,2709,323.7,2004/1/1,吉林省
259.4,3817,652.1,2004/1/1,黑龙江省
118.1,1835,25,2004/1/1,上海市
525.6,7523,204,2004/1/1,江苏省
207.8,4925,675.7,2004/1/1,浙江省
209.7,6228,500.7,2004/1/1,安徽省
184.9,3529,712.2,2004/1/1,福建省
203.5,4284,1034.6,2004/1/1,江西省
214.9,9180,349.5,2004/1/1,山东省
200.7,9717,406.6,2004/1/1,河南省
242.7,5698,926.4,2004/1/1,湖北省
323.6,6698,1641.3,2004/1/1,湖南省
464.8,9111,1187.7,2004/1/1,广东省
290.8,4889,1604.5,2004/1/1,广西壮族自治区
46.3,818,171.1,2004/1/1,海南省
67.5,2793,558.8,2004/1/1,重庆市
210.4,8090,2434.2,2004/1/1,四川省
94.3,3904,991,2004/1/1,贵州省
146.9,4415,2106.3,2004/1/1,云南省
28,276,4665.2,2004/1/1,西藏自治区
75.5,3681,309.4,2004/1/1,陕西省
121.8,2541,171.9,2004/1/1,甘肃省
30.2,539,606.8,2004/1/1,青海省
74,588,9.9,2004/1/1,宁夏回族自治区
497.1,1963,855.4,2004/1/1,新疆维吾尔自治区
