chazhi,watersupply,population,waterload,time,area
17.2,35.9,2078,39.5,2012/1/1,北京市
12.7,23.1,1378,32.9,2012/1/1,天津市
86.6,195.3,7262,235.5,2012/1/1,河北省
-39.6,73.4,3548,106.2,2012/1/1,山西省
-355.8,184.4,2464,510.3,2012/1/1,内蒙古自治区
-4.1,142.2,4375,547.3,2012/1/1,辽宁省
-173,129.8,2698,460.5,2012/1/1,吉林省
-580.2,358.9,3724,841.4,2012/1/1,黑龙江省
58.8,116,2399,33.9,2012/1/1,上海市
192,552.2,8120,373.3,2012/1/1,江苏省
-939.2,198.1,5685,1444.8,2012/1/1,浙江省
-506.4,292.6,5978,701,2012/1/1,安徽省
-1014,200.1,3841,1511.4,2012/1/1,福建省
-1372.5,242.5,4475,2174.4,2012/1/1,江西省
66.1,221.8,9708,274.3,2012/1/1,山东省
-74.1,238.6,9532,265.5,2012/1/1,河南省
-626,299.3,5781,813.9,2012/1/1,湖北省
-1467,328.8,6590,1988.9,2012/1/1,湖南省
-1275.9,451,11041,2026.5,2012/1/1,广东省
-1683.3,303,4694,2087.4,2012/1/1,广西壮族自治区
-338.5,45.3,910,364.3,2012/1/1,海南省
-562.1,82.9,2975,476.9,2012/1/1,重庆市
-2320.8,245.9,8085,2892.4,2012/1/1,四川省
-1117.8,100.8,3587,974,2012/1/1,贵州省
-1577.2,151.8,4631,1689.8,2012/1/1,云南省
-4385.8,29.8,315,4196.4,2012/1/1,西藏自治区
-261.8,88,3787,390.5,2012/1/1,陕西省
-77.8,123.1,2550,267,2012/1/1,甘肃省
-767.6,27.4,571,895.2,2012/1/1,青海省
60.2,69.4,659,10.8,2012/1/1,宁夏回族自治区
-145.1,590.1,2253,900.6,2012/1/1,新疆维吾尔自治区
11.4,36,2024,26.8,2011/1/1,北京市
12.9,23.1,1341,15.4,2011/1/1,天津市
52.1,196,7232,157.2,2011/1/1,河北省
-20.4,74.2,3562,124.3,2011/1/1,山西省
-351.2,184.7,2470,419,2011/1/1,内蒙古自治区
